DEVICE_ID,DEVICE_NUMBER,FILENAME,POSITION,VALUE1,VALUE2
STKT01,1,20200623064435.png,0,1.5584,5.0649
STKT01,1,20200623064435.png,1,2.5485,7.3558
STKT01,1,20200623065100.png,0,0.645,3.4069
STKT01,1,20200623065100.png,0,0.645,3.4069
STKT01,1,20200623065100.png,1,0.5086,4.1236
STKT01,1,20200623064435.png,0,1.5584,5.0649
STKT01,1,20200623064435.png,1,2.5485,7.3558
STKT01,1,20200623064435.png,0,1.5584,5.0649
STKT01,1,20200623064435.png,1,2.5485,7.3558
STKT01,1,20200623065100.png,0,0.645,3.4069
STKT01,1,20200623065100.png,1,0.5086,4.1236
STKT01,1,20200623065700.png,0,0.645,3.4069
STKT01,1,20200623065700.png,1,0.5086,4.1236
STKT01,1,20200623065100.png,0,0.645,3.4069
STKT01,1,20200623065100.png,1,0.5086,4.1236
STKT01,1,20200623065700.png,0,0.645,3.4069
STKT01,1,20200623065700.png,1,0.5086,4.1236
STKT01,1,20200623065935.png,0,1.5584,5.0649
STKT01,1,20200623065935.png,1,2.5485,7.3558
STKT01,1,20200623190235.png,0,1.5584,5.0649
STKT01,1,20200623190235.png,1,2.5485,7.3558
STKT01,1,20200623195100.png,0,0.0,1.7322
STKT01,1,20200623195100.png,1,0.0,2.1889
STKT01,1,20200623195700.png,0,0.0,1.7322
STKT01,1,20200623195700.png,1,0.0,2.1889
STKT01,1,20200623190235.png,0,0.8897,3.3785
STKT01,1,20200623190235.png,1,2.1041,5.5317
STKT01,1,20200623195100.png,0,0.0,1.7322
STKT01,1,20200623195100.png,1,0.0,2.1889
STKT01,1,20200623195700.png,0,0.0,1.7322
STKT01,1,20200623195700.png,1,0.0,2.1889
STKT02,2,20200623190235.png,0,0.8133,3.2414
STKT02,2,20200623190235.png,1,2.267,5.3507
STKT02,2,20200623195100.png,0,0.0,1.7366
STKT02,2,20200623195100.png,1,0.0,1.749
STKT02,2,20200623195700.png,0,0.0,1.7366
STKT02,2,20200623195700.png,1,0.0,1.749
STKT01,1,20200623190235.png,0,0.8897,3.3785
STKT01,1,20200623190235.png,1,2.1041,5.5317
STKT01,1,20200623195100.png,0,0.0,1.7322
STKT01,1,20200623195100.png,1,0.0,2.1889
STKT01,1,20200623195700.png,0,0.0,1.7322
STKT01,1,20200623195700.png,1,0.0,2.1889
STKT02,2,20200623190235.png,0,0.8133,3.2414
STKT02,2,20200623190235.png,1,2.267,5.3507
STKT02,2,20200623195100.png,0,0.0,1.7366
STKT02,2,20200623195100.png,1,0.0,1.749
STKT02,2,20200623195700.png,0,0.0,1.7366
STKT02,2,20200623195700.png,1,0.0,1.749
